2;"Poncho";"1";"2"

Bob			January 1
Del			May 27
Osai		May 28
Purrl		May 29
Hamlet		May 30
Maria		May 31

Keaton		June 1
Lucy		June 2
Filbert		June 3
Camofrog	June 5
Zell		June 7
Peanut		June 8
Alfonso		June 9
Walker		June 10
Pudge		June 11
Bettina		June 12
Scoot		June 13
Pippy		June 14
Maple		June 15
Roscoe		June 16
Tangy		June 17
Cookie		June 18
Sally/Hazel	June 19
Graham		June 20
Sydney		June 21
Jockey		June 22
Anessa		June 23
Bluebear	June 24
Drake		June 25
Marina		June 26
Deena		June 27
Kidd		June 28
Merry		June 29
Broccolo	June 30

Curt		July 1
Agent S		July 2
Blaire		July 3
Apollo		July 4
Samson		July 5
Mirako		July 6
Bree		July 7
Jeremiah	July 8
Static		July 9
Mott		July 10
Victoria	July 11
Twiggy		July 13
Dizzy		July 14
Caroline	July 15
Frita		July 16
Jay			July 17
Taishi		July 18
Nibbles		July 19
Yuka		July 20
Prince		July 21
Chow		July 22
Elvis		July 23
O'Hare		July 24
Fumitarou	July 25
Curly		July 26
Chuck		July 27
Truffles	July 28
Lionel		July 29
Hulk		July 30
Grizzly		July 31

Kid Cat		August 1
Vladimir	August 2
Bee			August 3
Bones		August 4
Poppy		August 5
Chester		August 6
Rory		August 7
Bud			August 8
Soleil		August 9
Cole		August 10
Gigi		August 11
Gloria		August 12
Tabby		August 13
Rod			August 14
Wendy		August 15
Nate		August 16
Stinky		August 17
Rocco		August 18
Alice		August 19
Lopez		August 20
Wart Jr		August 21
Rolf		August 22
Nana		August 23
Nan			August 24
Tipper		August 25
Rowan		August 26
Bangle		August 27
Chrissy		August 28
Gruff		August 29
Hazel		August 30

Violet		September 1	
Flo			September 2	
Spork		September 3	
Sally		September 4	
Fukuko		September 5	
Cesar		September 6	
Tucker		September 7	
Astrid		September 8	
Pinky		September 9	
Pecan		September 10
Peewee		September 11
Boone		September 12
Moose		September 13
Ricky		September 14
Tutu		September 15
Ed			September 16
Whitney		September 17
Bubbles		September 18
Fuchsia		September 19
Octavian	September 20
Henry		September 21
Ankha		September 22
Tokio		September 23
Apple		September 24
Mitzi		September 25
Teddy		September 26
Beard		September 27
Kody		September 28
Marshal		September 29
Monique		September 30

Aida		October 2
Big Top		October 3
Goose		October 4
Elmer		October 5
Tex			October 6
Cobb		October 7
Kiki		October 8
Drift		October 9
Benedict	October 10
Kitt		October 11
Lyman		October 12
T-Fan		October 13
Egbert		October 14
Hippeux		October 15
Friga		October 16
Limberg		October 17
Al			October 18
Dogurou		October 19
Antonio		October 20
Tsukase		October 21
Groucho		October 23
Broffina	October 24
Portia		October 25
Rocky		October 26
Jambette	October 27
Gaston		October 28
Rodeo		October 29

Butch		November 1
Iggly		November 2
Snake		November 3
Lucky		November 4
Lobo		November 5
Bam			November 7
Alli		November 8
Pango		November 9
Rodney		November 10
Mac			November 11
Mathilda	November 12
Queenie		November 13
Brittany	November 14
Hyde		November 15
Daisy		November 16
Mallary		November 17
Tina		November 18
Amelia		November 19
Nosuke		November 20
Sasuke		November 21
Marilyn		November 22
Knox		November 23
Shep		November 24
Wolfgang	November 25
Willow		November 26
Kane		November 27
Peaches		November 28
Kabuki		November 29

Rooney		December 1
Annalise	December 2
Robin		December 4
Sunairu		December 5
Kyle		December 6
Monty		December 7
Eloise		December 8
Becky		December 9
Tom			December 10
Sterling	December 11
Mascaras	December 12
Koyuki		December 13
Freya		December 14
Chadder		December 15
Gabi		December 16
Cousteau	December 17
Fang		December 18
Chief		December 19
Chas		December 20
Shinobu		December 21
Takkun		December 22
Kurobee		December 23
Ruby		December 25
Barbara		December 26
Goldie		December 27
Bella		December 28
Norman		December 29
Hugh		December 30
Marcel		December 31
